,manufacturer,main_type,built_year,first_registration_date,has_all_wheel_drive,horsepower,handover_key_count,length,width,height,mileage,kw,price,evaluation_datetime,fuel,gear,ac,gps,color
487,Audi,Passat,  2000_year ,2000-03-30,,54.0,1,3527.0,2171.0,1334,122617.0,40.0,137,2018-05-24 13:46:02,Benzin,Manual,Manual,,purple
488,BMW,Insignia,  2001_year ,2001-10-04,,90.0,2,3672.0,2089.0,1498,183871.0,66.0,1175,2018-05-29 13:16:08,Benzin,Manual,Auto,,red
489,Dacia,Kuga,  2009_year ,2009-11-05,1.0,139.0,2,3854.0,2040.0,1533,148158.0,103.0,7592,2018-07-26 17:40:15,Benzin,Manual,Auto,,silver
490,Land Rover,Civic,  2011_year ,2011-09-15,1.0,261.0,2,4120.0,1785.0,1455,84361.0,192.0,17747,2018-09-27 11:26:35,Diesel,Auto_or_Hybrid,Auto,Big,purple
491,Land Rover,V 70,  2010_year ,2010-10-25,1.0,271.0,1,3775.0,2141.0,1653,188085.0,199.0,12484,2018-06-20 15:32:24,Diesel,Auto_or_Hybrid,Auto,Big,purple
492,Toyota,S 60,  2007_year ,2007-10-26,,235.0,2,3621.0,2151.0,1458,134504.0,173.0,5252,2018-07-08 08:26:24,Benzin,Manual,Auto,,white
493,Porsche,Golf VI,  2006_year ,2006-03-27,,80.0,1,3526.0,2042.0,1490,124934.0,58.0,1628,2018-07-28 13:10:27,Diesel,Manual,Manual,,brown
494,Mercedes-Benz,Caddy,  2000_year ,2000-08-17,,60.0,1,3411.0,2103.0,1549,112814.0,45.0,268,2018-05-15 11:28:39,Benzin,Auto_or_Hybrid,,,black
495,Audi,1er,  2002_year ,2003-02-14,,110.0,2,3462.0,2074.0,1532,195770.0,81.0,99,2018-06-03 13:28:34,Diesel,Manual,Auto,,purple
496,Nissan,Superb,  2014_year ,2014-06-17,,115.0,2,3788.0,2092.0,1685,92926.0,85.0,13054,2018-06-17 11:02:40,Diesel,Manual,Auto,,white
497,Land Rover,V 70,  2009_year ,2009-07-27,1.0,249.0,2,3897.0,1874.0,1653,174254.0,182.0,10891,2018-09-23 14:35:13,Diesel,Auto_or_Hybrid,Auto,Big,brown
498,Toyota,S 60,  2014_year ,2014-02-12,,149.0,1,4073.0,2144.0,1444,70702.0,110.0,15519,2018-10-25 08:36:36,Benzin,Manual,Auto,Big,red
499,Fiat,C5,  2011_year ,2011-07-26,,150.0,2,3797.0,1826.0,1515,77243.0,110.0,17260,2018-08-13 14:15:25,Diesel,Auto_or_Hybrid,Auto,Big,red
500,Hyundai,X3,  2004_year ,2004-05-10,1.0,129.0,2,3754.0,2064.0,1695,142720.0,95.0,5032,2018-04-25 10:43:31,Benzin,Auto_or_Hybrid,Auto,Mobile,purple
501,Kia,Fiesta,  2008_year ,2008-02-28,,161.0,2,3746.0,2341.0,1645,100843.0,118.0,4862,2018-07-18 09:41:51,Benzin,Auto_or_Hybrid,Auto,,red
502,Citroen,500,  2006_year ,2006-06-14,,120.0,2,3545.0,2255.0,1420,151620.0,87.0,4983,2018-06-27 19:32:05,Benzin,Manual,Manual,,brown
503,Citroen,500,  2007_year ,2008-06-02,,147.0,2,4043.0,1882.0,1384,64445.0,108.0,13350,2018-07-18 15:15:46,Benzin,Auto_or_Hybrid,Auto,Mobile,red
504,BMW,Insignia,  2002_year ,2002-05-07,,118.0,2,3607.0,2371.0,1498,217916.0,87.0,1613,2018-09-20 12:31:19,Diesel,Manual,Auto,,red
505,BMW,3er,  2002_year ,2003-03-04,,86.0,2,3517.0,2236.0,1485,251457.0,64.0,779,2018-06-01 10:47:02,Diesel,Manual,Manual,,silver
506,Citroen,500,  2002_year ,2002-01-30,,138.0,2,3686.0,2376.0,1409,172744.0,102.0,2197,2018-07-10 14:16:17,Benzin,Manual,Auto,,silver
507,Land Rover,A5,  2012_year ,2012-02-21,,156.0,2,3808.0,2087.0,1436,151019.0,115.0,14305,2018-10-22 10:07:18,Diesel,Auto_or_Hybrid,Auto,Big,red
508,Citroen,500,  2007_year ,2007-03-27,,155.0,2,3699.0,2280.0,1440,257083.0,114.0,3701,2018-08-16 15:35:36,Diesel,Auto_or_Hybrid,Auto,Big,red
509,Fiat,C-Klasse,  2007_year ,2008-01-24,,133.0,1,3501.0,2390.0,1447,198500.0,98.0,4983,2018-10-23 14:10:10,Diesel,Manual,Auto,,brown
510,Kia,Golf V,  2014_year ,2014-06-24,1.0,172.0,2,4036.0,1935.0,1526,70866.0,126.0,13297,2018-07-27 12:22:10,Diesel,Manual,Auto,Big,brown
511,Land Rover,A5,  2006_year ,2006-11-27,,102.0,2,3661.0,2223.0,1428,58586.0,75.0,4764,2018-07-24 11:38:30,Benzin,Manual,Auto,,brown
512,Audi,1er,  2009_year ,2009-05-11,,127.0,2,3728.0,2154.0,1500,70262.0,94.0,5651,2018-08-14 16:24:56,Benzin,Manual,Manual,,red
513,BMW,3er,  2003_year ,2003-07-11,,117.0,2,3494.0,2017.0,1485,169670.0,85.0,2176,2018-06-07 09:30:31,Benzin,Manual,Auto,,brown
514,Peugeot,Golf IV,  2012_year ,2012-06-14,1.0,111.0,2,3880.0,1890.0,1615,66384.0,82.0,7802,2018-06-22 09:03:08,Diesel,Manual,Auto,Big,white
515,Seat,X5,  2016_year ,2016-05-24,1.0,206.0,2,4493.0,1686.0,1713,47292.0,152.0,23592,2018-09-01 12:31:55,Diesel,Auto_or_Hybrid,Front,Big,brown
516,Opel,Focus,  2011_year ,2011-11-10,,74.0,2,3638.0,2254.0,1497,38341.0,54.0,3585,2018-06-16 14:23:00,Benzin,Manual,Manual,,black
517,Hyundai,X3,  2006_year ,2006-07-17,1.0,203.0,2,3720.0,2200.0,1685,213699.0,149.0,5396,2018-08-08 11:15:53,Diesel,Manual,Auto,Big,brown
518,Land Rover,C-Max,  2010_year ,2010-05-21,,139.0,2,3654.0,2198.0,1423,336960.0,102.0,5448,2018-08-21 10:06:02,Diesel,Manual,Auto,Big,white
519,BMW,Touareg,  2007_year ,2007-02-09,,201.0,2,3944.0,1907.0,1990,232815.0,147.0,7645,2018-09-10 19:40:03,Diesel,Manual,Auto,Mobile,purple
520,Smart,Punto,  2004_year ,2004-12-28,,97.0,2,3596.0,2206.0,1416,118555.0,71.0,2074,2018-04-26 10:29:38,Benzin,Manual,Manual,,purple
521,BMW,CR-V,  2005_year ,2005-10-25,,69.0,1,3699.0,2421.0,1485,151762.0,51.0,1256,2018-05-12 10:23:17,Benzin,Manual,Manual,,brown
522,BMW,206,  2007_year ,2007-05-31,,101.0,2,3721.0,2165.0,1499,252132.0,75.0,3028,2018-10-17 13:03:24,Diesel,Manual,Auto,,gold
523,BMW,Q5,  2009_year ,2009-06-30,,140.0,2,3739.0,2169.0,1480,38912.0,103.0,9266,2018-07-09 10:24:12,Benzin,Auto_or_Hybrid,Auto,Mobile,red
524,Land Rover,C-Max,  2006_year ,2006-12-14,1.0,188.0,2,3578.0,2292.0,1423,194094.0,138.0,5477,2018-07-23 13:04:23,Diesel,Manual,Auto,Big,red
525,Land Rover,Civic,  2005_year ,2005-07-29,,158.0,2,3588.0,2329.0,1463,326359.0,116.0,2837,2018-06-19 16:06:10,Diesel,Manual,Auto,,red
526,Fiat,C5,  2004_year ,2004-11-24,,239.0,2,3867.0,2140.0,1452,104887.0,175.0,6913,2018-04-17 11:22:14,Benzin,Auto_or_Hybrid,Auto,Big,purple
527,Fiat,Octavia,  2009_year ,2009-03-31,,105.0,2,3514.0,2368.0,1593,201201.0,76.0,2304,2018-05-27 10:25:16,Diesel,Manual,Manual,,red
528,Nissan,Superb,  2007_year ,2007-04-20,0.0,128.0,2,3748.0,2089.0,1675,195212.0,94.0,5721,2018-09-15 11:23:08,Benzin,Manual,Auto,,brown
529,Dacia,307,  2011_year ,2011-06-29,,58.0,2,3753.0,2363.0,1498,91934.0,43.0,4085,2018-09-14 09:39:15,Benzin,Manual,Auto,,white
530,BMW,Q5,  2010_year ,2010-12-06,,97.0,2,3669.0,2033.0,1480,94956.0,71.0,7225,2018-05-06 11:20:55,Diesel,Manual,Auto,Big,red
531,Seat,Leon,  2009_year ,2009-06-03,1.0,203.0,1,3866.0,2002.0,1743,210619.0,149.0,11399,2018-08-10 10:42:04,Diesel,Auto_or_Hybrid,Auto,Big,red
532,Volkswagen,Tiguan,  2008_year ,2009-08-28,,136.0,2,3568.0,1986.0,1480,63161.0,100.0,5078,2018-05-18 11:04:02,Benzin,Manual,Manual,,red
533,Hyundai,Meriva,  2014_year ,2014-03-31,,77.0,2,3596.0,2259.0,1510,49737.0,56.0,7249,2018-08-24 10:21:11,Benzin,Manual,Auto,Big,brown
534,Fiat,C5,  2003_year ,2004-04-07,,139.0,2,3787.0,2134.0,1450,106800.0,102.0,5400,2018-06-11 15:25:39,Benzin,Manual,Auto,,red
535,Land Rover,V 70,  2013_year ,2013-02-14,1.0,231.0,2,4039.0,1794.0,1655,49931.0,170.0,27494,2018-06-25 09:49:39,Diesel,Auto_or_Hybrid,Auto,Big,brown
536,Fiat,C5,  2011_year ,2011-08-05,,,1,3626.0,2036.0,1515,441229.0,92.0,6839,2018-08-27 11:11:28,Diesel,Auto_or_Hybrid,Auto,Big,red
537,Citroen,500,  2013_year ,2013-06-27,,106.0,2,3919.0,2279.0,1429,133718.0,78.0,7685,2018-04-08 10:01:44,Diesel,Manual,Auto,,red
538,Citroen,207,  2013_year ,2013-07-05,1.0,190.0,2,4051.0,2070.0,1462,69317.0,139.0,19654,2018-08-30 14:02:39,Diesel,Auto_or_Hybrid,Auto,Big,purple
539,Honda,A3,  2009_year ,2009-10-30,,68.0,2,3784.0,2233.0,1446,20398.0,50.0,2196,2018-06-08 09:12:29,Benzin,Manual,Manual,,brown
540,Mazda,C4,  2011_year ,2012-03-08,,107.0,2,3931.0,2178.0,1695,57817.0,78.0,8725,2018-06-02 10:50:48,Benzin,Manual,Manual,,brown
541,Citroen,Qashqai,  2007_year ,2007-08-24,1.0,204.0,2,3669.0,2114.0,1674,137015.0,150.0,7884,2018-09-10 10:57:35,Diesel,Auto_or_Hybrid,Auto,Big,red
542,Dacia,Kuga,  2015_year ,2015-04-02,,215.0,2,3941.0,1891.0,1452,75277.0,158.0,18405,2018-10-12 15:27:18,Benzin,Auto_or_Hybrid,Auto,Big,white
543,Skoda,fortwo,  2005_year ,2005-06-01,,159.0,2,3682.0,2396.0,1480,108963.0,117.0,2565,2018-06-29 10:55:16,Benzin,Manual,Auto,,brown
544,Fiat,C5,  2007_year ,2007-06-18,,250.0,2,3653.0,2012.0,1484,268359.0,184.0,4822,2018-09-17 10:17:16,Diesel,Auto_or_Hybrid,Auto,Big,brown
545,Land Rover,XC 60,  2007_year ,2007-11-06,1.0,260.0,1,3710.0,2032.0,1737,170543.0,192.0,10678,2018-06-21 14:07:18,Diesel,Auto_or_Hybrid,Auto,Big,brown
546,Fiat,C5,  2012_year ,2012-03-08,1.0,205.0,3,3980.0,1984.0,1464,217798.0,150.0,10619,2018-05-31 12:22:54,Diesel,Auto_or_Hybrid,Auto,Big,brown
547,Ford,cee'd,  2015_year ,2015-08-31,,128.0,2,3706.0,2052.0,1670,23810.0,94.0,13017,2018-07-20 12:23:01,Benzin,Manual,Manual,,brown
548,BMW,Touareg,  2005_year ,2005-04-28,,154.0,2,3858.0,2128.0,0,239662.0,113.0,6353,2018-07-23 16:58:48,Diesel,Manual,Auto,Big,red
549,Renault,Golf VII,  2006_year ,2006-04-28,,116.0,1,3471.0,2225.0,1500,203927.0,85.0,2388,2018-06-11 09:21:11,Benzin,Manual,Manual,Big,brown
550,Citroen,500,  2003_year ,2003-03-28,,167.0,2,3472.0,2054.0,1409,202415.0,122.0,2344,??,Benzin,Manual,Auto,,red
551,Land Rover,A5,  2001_year ,2001-03-20,,122.0,2,3458.0,2239.0,1428,412610.0,90.0,1385,2018-07-11 13:32:26,Benzin,Auto_or_Hybrid,Auto,Big,purple
552,BMW,206,  2006_year ,2006-07-27,,141.0,2,3910.0,2026.0,1467,34190.0,103.0,7069,2018-07-03 11:48:02,Benzin,Manual,Auto,,black
553,Kia,A6,  2004_year ,2004-03-04,,147.0,2,3646.0,2091.0,1500,188281.0,108.0,1332,2018-07-09 08:18:35,Benzin,Manual,Manual,,brown
554,Peugeot,Golf IV,  2012_year ,2012-08-02,1.0,117.0,2,3883.0,1934.0,1615,169833.0,86.0,9218,2018-06-04 11:20:01,Diesel,Manual,Auto,Big,brown
555,Opel,Ibiza,  2010_year ,2011-01-13,,119.0,2,3725.0,2233.0,1434,106424.0,88.0,7504,2018-04-19 11:33:17,Diesel,Auto_or_Hybrid,Auto,Big,red
556,Skoda,fortwo,  2011_year ,2011-12-28,,160.0,2,3627.0,2134.0,1490,213193.0,117.0,4401,2018-05-09 17:00:34,Diesel,Manual,Auto,,gray
557,Honda,911,  2012_year ,2012-09-10,,125.0,1,3635.0,2192.0,1397,66753.0,92.0,5518,2018-06-02 12:08:01,Benzin,Manual,Auto,,red
558,Toyota,Vectra,  2009_year ,2009-04-16,,75.0,1,3595.0,2317.0,1441,131026.0,56.0,2419,2018-07-30 11:07:46,Benzin,Manual,Auto,,red
559,Land Rover,C-Max,  2011_year ,2011-02-10,,122.0,2,3811.0,2181.0,1423,86623.0,90.0,9213,2018-05-15 10:33:00,Diesel,Manual,Auto,,brown
560,Dacia,307,  2000_year ,2001-01-29,,112.0,1,3601.0,2233.0,1451,273789.0,83.0,548,2018-09-07 09:04:54,Diesel,Manual,Manual,,silver
561,Land Rover,Clio,  2008_year ,2008-03-12,1.0,218.0,2,3648.0,2087.0,1372,267001.0,160.0,6155,2018-09-13 15:30:25,Diesel,Manual,Auto,Big,brown
562,BMW,Insignia,  2007_year ,2007-04-27,,186.0,2,3836.0,2121.0,1472,190090.0,137.0,3923,2018-06-26 16:28:14,Diesel,Manual,Auto,Big,red
563,Seat,Yaris,  2008_year ,2008-09-23,,137.0,3,3512.0,2260.0,1452,214141.0,101.0,2594,2018-05-11 12:50:25,Diesel,Auto_or_Hybrid,Auto,,purple
564,BMW,5,  2011_year ,2011-11-24,,122.0,1,3958.0,2109.0,1685,170442.0,90.0,7962,2018-08-20 10:21:40,Diesel,Manual,Auto,Big,brown
565,Dacia,T5,  2005_year ,2005-07-28,,131.0,1,3428.0,2371.0,1469,158556.0,97.0,2279,2018-05-02 10:08:53,Benzin,Manual,Auto,,silver
566,Toyota,S 60,  2013_year ,2014-02-07,,97.0,2,3734.0,2294.0,1459,103904.0,71.0,6743,2018-04-23 09:28:57,Benzin,Manual,Auto,,purple
567,Citroen,207,  2001_year ,2001-04-17,,188.0,2,3529.0,2078.0,1435,186748.0,138.0,1683,2018-04-25 13:41:30,Benzin,Manual,Auto,,silver
568,Kia,Evoque,  2000_year ,2000-11-14,,81.0,2,3543.0,2079.0,1440,183812.0,59.0,871,2018-05-23 17:19:35,Benzin,Auto_or_Hybrid,Manual,,silver
569,Opel,Focus,  2008_year ,2008-08-22,,83.0,2,3620.0,2279.0,1497,148902.0,61.0,1803,2018-09-19 16:11:12,Benzin,Manual,Manual,,red
570,Land Rover,C-Max,  2011_year ,2011-04-19,,137.0,2,3737.0,2038.0,1421,98206.0,101.0,7789,2018-05-21 10:54:11,Benzin,Manual,Auto,,brown
571,BMW,CR-V,  2006_year ,2006-07-05,,140.0,2,3568.0,2005.0,1513,196490.0,103.0,2308,2018-04-17 15:51:20,Diesel,Manual,Manual,,purple
572,Dacia,307,  2001_year ,2002-04-10,,124.0,2,3650.0,2412.0,1451,186890.0,92.0,929,2018-04-28 12:57:27,Benzin,Manual,Manual,,red
573,Porsche,Golf VI,  2009_year ,2009-09-29,,73.0,2,3666.0,2097.0,1490,93619.0,54.0,2203,2018-07-29 16:27:02,Benzin,Manual,,,purple
574,Opel,Ibiza,  2009_year ,2009-04-16,,146.0,2,3770.0,2376.0,1471,140693.0,108.0,4351,2018-06-21 15:15:34,Diesel,Manual,Manual,,black
575,Hyundai,X3,  2008_year ,2008-10-16,1.0,148.0,1,3546.0,2290.0,1685,234319.0,110.0,4017,2018-09-12 15:38:10,Diesel,Manual,Auto,,red
576,BMW,Q5,  2010_year ,2010-11-25,,117.0,2,3799.0,2236.0,1480,68803.0,86.0,6534,2018-06-03 10:14:36,Benzin,Manual,Manual,Big,red
577,Land Rover,XC 60,  2016_year ,2016-05-24,1.0,247.0,1,4879.0,1552.0,1741,95284.0,182.0,53030,2018-07-21 16:38:06,Diesel,Auto_or_Hybrid,Auto,Big,brown
578,Skoda,fortwo,  2010_year ,2010-11-30,,152.0,2,3687.0,2023.0,1490,73522.0,112.0,6828,2018-06-18 10:02:35,Diesel,Manual,Auto,,purple
579,BMW,5,  2007_year ,2007-06-21,,131.0,2,3665.0,2184.0,1635,141072.0,96.0,4114,2018-07-14 12:22:24,Benzin,Manual,Auto,,brown
580,Peugeot,Golf IV,  2013_year ,2013-06-28,,113.0,2,3768.0,1943.0,1615,73643.0,83.0,10306,2018-06-05 09:44:02,Benzin,Manual,Auto,Big,red
581,Citroen,M-Klasse,  2007_year ,2007-07-17,,171.0,2,3537.0,2091.0,1421,135727.0,126.0,5388,2018-09-12 12:49:24,Diesel,Manual,Auto,,brown
582,Suzuki,Touran,  2005_year ,2005-11-17,,142.0,2,3482.0,2148.0,1458,146883.0,104.0,1566,2018-06-22 09:30:56,Benzin,Manual,Front,,brown
583,Ford,6,  2007_year ,2007-10-03,,103.0,2,3448.0,2072.0,1480,253387.0,76.0,1649,2018-05-27 12:11:54,Diesel,Manual,Manual,,purple
584,Land Rover,Clio,  2011_year ,2011-11-03,1.0,259.0,2,4090.0,1870.0,1391,138153.0,190.0,17530,2018-04-21 11:23:55,Diesel,Auto_or_Hybrid,Auto,Big,brown
585,BMW,CR-V,  2007_year ,2008-01-08,,207.0,1,3774.0,2273.0,1501,151437.0,152.0,5469,2018-06-20 08:35:36,Benzin,Manual,Auto,,black
586,Kia,A4,  2005_year ,2005-06-03,,99.0,2,3756.0,2073.0,1460,216304.0,73.0,1573,2018-05-22 17:35:25,Benzin,Manual,Manual,,brown
587,Kia,A4,  2010_year ,2010-03-30,,100.0,2,3751.0,1972.0,1510,129368.0,74.0,3783,2018-07-13 12:48:06,Benzin,Manual,Manual,,green
588,Fiat,C5,  2008_year ,2008-01-30,,245.0,2,3540.0,2210.0,1484,126511.0,180.0,4935,2018-06-05 10:36:31,Diesel,Auto_or_Hybrid,Auto,Big,red
589,Audi,Avensis,  2006_year ,2006-04-27,,241.0,1,3712.0,2446.0,1427,253475.0,178.0,1056,2018-05-19 15:58:43,Benzin,Manual,Auto,Big,purple
590,Citroen,207,  2007_year ,2007-05-22,,297.0,2,3753.0,2130.0,1491,513163.0,219.0,2444,2018-05-27 12:18:57,Diesel,Auto_or_Hybrid,Auto,Big,red
591,Kia,Golf V,  2014_year ,2014-07-17,1.0,175.0,2,3911.0,1875.0,1498,71425.0,128.0,14507,2018-06-19 09:32:30,Diesel,Auto_or_Hybrid,Auto,Big,red
592,MINI,Astra,  2012_year ,2012-08-01,1.0,152.0,2,4223.0,1934.0,1365,75016.0,112.0,19713,2018-06-14 13:58:49,Diesel,Auto_or_Hybrid,Auto,Big,white
593,Honda,Zafira,  2005_year ,2005-11-30,,77.0,2,3749.0,2412.0,1510,77874.0,57.0,1290,2018-07-30 16:39:44,Benzin,Manual,Manual,,silver
594,Land Rover,C-Max,  2012_year ,2012-12-27,,173.0,2,3966.0,2134.0,1421,58464.0,127.0,16743,2018-07-06 14:44:40,Benzin,Auto_or_Hybrid,Auto,,red
595,Opel,Ibiza,  2010_year ,2010-11-26,,107.0,1,3799.0,2240.0,1534,131168.0,79.0,3865,2018-06-16 11:46:55,Benzin,Manual,Front,,silver
596,Land Rover,A5,  2010_year ,2010-03-24,,103.0,2,3663.0,2011.0,1427,36110.0,76.0,10552,2018-06-03 12:47:02,Benzin,Manual,Auto,,brown
597,Land Rover,A5,  2005_year ,2005-06-16,1.0,186.0,2,3538.0,2205.0,1427,222359.0,137.0,3393,2018-07-12 09:52:55,Benzin,Manual,Auto,Big,red
598,Fiat,C5,  2012_year ,2013-04-25,,233.0,2,4122.0,1768.0,1398,71657.0,171.0,18572,2018-08-16 14:07:45,Benzin,Auto_or_Hybrid,Auto,Big,red
599,Fiat,5er,  2012_year ,2012-02-27,,125.0,2,3834.0,2175.0,1557,73998.0,91.0,7468,2018-06-17 19:23:19,Diesel,Manual,Manual,,red
600,Honda,911,  2006_year ,2007-08-09,,70.0,2,3729.0,2308.0,1472,95335.0,52.0,2277,2018-10-30 08:33:58,Benzin,Manual,Manual,,orange
601,Citroen,207,  2010_year ,2010-11-17,,177.0,2,4125.0,2218.0,1464,146345.0,129.0,12530,2018-08-15 08:39:06,Benzin,Auto_or_Hybrid,Auto,Big,red
602,Opel,Ibiza,  2010_year ,2010-07-13,,117.0,2,3648.0,2060.0,1534,119154.0,87.0,4550,2018-07-16 18:30:12,Benzin,Manual,Auto,Big,white
603,Land Rover,Civic,  2008_year ,2008-04-28,1.0,174.0,1,3524.0,1955.0,1463,182981.0,128.0,4416,2018-04-28 15:26:49,Diesel,Auto_or_Hybrid,Auto,Big,red
604,Citroen,500,  2010_year ,2010-05-27,,210.0,2,3803.0,2182.0,1418,200093.0,153.0,4520,2018-10-10 12:26:39,Diesel,Auto_or_Hybrid,Auto,Big,brown
605,Honda,911,  2009_year ,2009-10-30,,107.0,2,3725.0,2255.0,1472,77569.0,79.0,5047,2018-08-30 16:22:34,Benzin,Manual,Auto,,red
606,Seat,Yaris,  2010_year ,2010-05-25,,119.0,1,3544.0,2311.0,1452,103757.0,86.0,3534,2018-10-17 16:22:19,Diesel,Manual,Auto,,brown
607,Renault,Golf VII,  2009_year ,2009-10-26,,81.0,2,3613.0,2073.0,1500,110770.0,60.0,2500,2018-08-03 11:30:22,Benzin,Manual,Manual,,red
608,Renault,Golf VII,  2008_year ,2008-03-20,,86.0,2,3749.0,2077.0,1535,116129.0,63.0,4222,2018-05-11 10:35:21,Diesel,Manual,Manual,,brown
609,Citroen,500,  2011_year ,2011-12-21,,294.0,1,4040.0,2035.0,1429,186125.0,217.0,14792,2018-06-02 09:03:14,Benzin,Auto_or_Hybrid,Auto,Big,brown
610,BMW,Insignia,  2007_year ,2007-03-29,,124.0,2,3627.0,2126.0,1517,145161.0,92.0,2488,2018-07-14 16:53:14,Benzin,Manual,Auto,,silver
611,Kia,Fiesta,  2000_year ,2000-10-24,,119.0,2,3515.0,2387.0,1634,107783.0,88.0,1778,2018-07-23 11:25:25,Benzin,Manual,Manual,,yellow
612,BMW,CR-V,  2004_year ,2005-04-01,,119.0,2,3776.0,2202.0,1485,206275.0,88.0,2428,2018-05-16 15:57:33,Benzin,Manual,Manual,,red
613,Seat,Swift,  2002_year ,2002-01-31,,127.0,1,3634.0,2367.0,1428,229022.0,93.0,1041,2018-09-06 14:16:59,Benzin,Auto_or_Hybrid,Auto,,gold
614,Land Rover,V 70,  2012_year ,2012-10-15,1.0,219.0,2,4207.0,1911.0,1655,97794.0,161.0,28322,2018-06-13 15:28:20,Diesel,Auto_or_Hybrid,Auto,Big,white
615,Citroen,500,  2015_year ,2015-01-30,,277.0,2,4199.0,1961.0,1429,34128.0,204.0,30753,2018-07-03 12:26:32,Benzin,Auto_or_Hybrid,Auto,Big,red
616,Citroen,500,  2005_year ,2006-01-03,,183.0,2,3694.0,2137.0,1440,277545.0,135.0,2061,2018-09-10 09:24:47,Diesel,Manual,Auto,Big,red
617,Volvo,XC 90,  2009_year ,2009-05-29,1.0,385.0,2,4797.0,1729.0,1310,106679.0,284.0,43989,2018-08-09 11:01:38,Benzin,Auto_or_Hybrid,Auto,Big,red
618,BMW,Insignia,  2012_year ,2012-03-20,,156.0,2,3695.0,1995.0,1516,84252.0,114.0,11022,2018-05-19 10:05:24,,Auto_or_Hybrid,Auto,,brown
619,BMW,i30,  2010_year ,2010-12-22,,82.0,2,3743.0,2159.0,1822,55078.0,60.0,7399,2018-09-24 09:06:46,Diesel,Manual,Manual,,black
620,BMW,206,  2008_year ,2009-02-12,,52.0,2,3550.0,2076.0,1467,93211.0,38.0,2639,2018-04-24 15:53:31,Benzin,Manual,Manual,,red
621,Citroen,500,  2000_year ,2000-08-11,,219.0,2,3657.0,2200.0,1369,158621.0,162.0,2195,2018-07-27 16:32:41,Benzin,Manual,Manual,,silver
622,Dacia,Kuga,  2010_year ,2010-09-03,,115.0,2,3567.0,2074.0,1468,111984.0,85.0,5594,2018-07-10 14:20:02,Benzin,Manual,Auto,,brown
623,Audi,1er,  1999_year ,1999-01-07,,78.0,2,3596.0,2149.0,1481,247122.0,57.0,50,2018-06-08 18:38:22,Benzin,Manual,,,silver
624,BMW,5,  2006_year ,2006-05-26,,110.0,2,3530.0,2419.0,1652,190741.0,81.0,2529,2018-05-15 17:52:08,Benzin,Manual,Auto,,red
625,Fiat,C5,  2004_year ,2004-10-27,,201.0,1,3411.0,2072.0,1495,707712.0,148.0,1699,2018-04-20 13:52:31,Benzin,Auto_or_Hybrid,Auto,Big,brown
626,Citroen,Fabia,  2010_year ,2010-03-30,1.0,182.0,2,3751.0,2166.0,1573,65596.0,134.0,12274,2018-09-04 10:56:40,Diesel,Auto_or_Hybrid,Auto,Big,gray
627,Dacia,Kuga,  2011_year ,2011-03-22,,153.0,2,3887.0,2350.0,1468,146611.0,113.0,7143,2018-07-14 17:01:30,Diesel,Auto_or_Hybrid,Auto,Big,white
628,Kia,A4,  2011_year ,2011-05-17,,135.0,2,3882.0,1927.0,1535,101132.0,99.0,5819,2018-10-09 13:45:53,Benzin,Manual,Auto,Big,brown
629,Kia,E-Klasse,  2014_year ,2014-07-21,,125.0,2,3728.0,2167.0,1615,48868.0,92.0,9126,2018-09-24 11:59:56,Benzin,Auto_or_Hybrid,Auto,,red
630,Land Rover,Civic,  2008_year ,2008-07-09,,127.0,1,3740.0,2085.0,1463,325775.0,94.0,3759,2018-07-13 11:30:43,Diesel,Auto_or_Hybrid,Auto,Big,brown
631,Land Rover,A5,  2013_year ,2013-09-18,1.0,226.0,2,4143.0,1769.0,1427,56369.0,166.0,22609,2018-03-30 09:28:45,Diesel,Auto_or_Hybrid,Auto,Big,brown
632,Dacia,Kuga,  2007_year ,2007-08-08,,132.0,2,3829.0,2141.0,1455,185572.0,97.0,4119,2018-06-20 19:40:08,Diesel,Auto_or_Hybrid,Auto,,purple
633,Audi,RAV 4,  2010_year ,2010-09-10,1.0,209.0,2,3721.0,2303.0,1710,144705.0,153.0,8103,2018-07-02 10:18:40,Benzin,Manual,Auto,Mobile,red
634,Opel,Focus,  2012_year ,2013-02-27,,77.0,2,3714.0,1975.0,1497,42302.0,57.0,3179,2018-05-25 09:27:44,Benzin,Manual,Manual,,black
635,BMW,i30,  2008_year ,2008-05-05,,148.0,2,3471.0,2238.0,1834,292382.0,109.0,3084,2018-05-08 08:51:12,Diesel,Manual,Manual,,white
636,Citroen,M-Klasse,  2009_year ,2010-12-27,,137.0,2,3700.0,2136.0,1421,74504.0,101.0,7059,2018-05-02 11:20:19,Benzin,Manual,Auto,,silver
637,Dacia,Yeti,  2011_year ,2010-11-19,,134.0,2,3929.0,2285.0,1691,101792.0,99.0,6735,2018-08-02 12:35:45,Benzin,Manual,Auto,,gray
638,Citroen,Qashqai,  2006_year ,2006-02-10,1.0,137.0,2,3652.0,2012.0,1674,268915.0,100.0,3106,2018-07-09 09:27:47,Diesel,Manual,Auto,,purple
639,Land Rover,A5,  2010_year ,2010-05-04,,168.0,2,3732.0,2170.0,1436,164141.0,124.0,9063,2018-04-12 12:15:43,Diesel,Manual,Auto,Big,red
640,Kia,A4,  2010_year ,2010-04-30,,125.0,2,3534.0,2251.0,1500,94930.0,93.0,3782,2018-05-24 10:24:08,Benzin,Manual,Manual,,red
